year,team_name,fg_pg,ft_pg,three_pt_pg,orb_pg,drb_pg,ast_pg,stl_pg,blk_pg,tov_pg,pf_pg,pt_pg,opnt_pt_pg,fg_pct,three_p_pct,ft_pct,wl_pct,conf_wl_pct,srs,sos
2011.0,Air Force,22.5625,13.0625,6.625,5.84375,28.5048828125,15.4375,6.25,2.59375,12.0625,17.59375,64.8125,65.0625,0.471,0.377,0.705,0.5,0.375,2.71,3.31
2011.0,Akron,24.77777777777778,12.694444444444445,7.861111111111111,10.083333333333334,34.1087962962963,14.444444444444445,6.666666666666667,3.5833333333333335,12.0,19.22222222222222,70.11111111111111,65.69444444444444,0.43,0.361,0.704,0.639,0.5625,2.15,-1.02
2011.0,Alabama A&M,22.607142857142858,14.892857142857142,4.464285714285714,12.392857142857142,37.34311224489796,12.107142857142858,8.321428571428571,5.392857142857143,15.857142857142858,20.071428571428573,64.57142857142857,66.78571428571429,0.396,0.288,0.624,0.464,0.5555555555555556,-15.19,-11.75
2011.0,Alabama-Birmingham,24.387096774193548,11.870967741935484,7.709677419354839,11.35483870967742,35.407908428720084,13.548387096774194,5.290322580645161,3.129032258064516,12.483870967741936,16.580645161290324,68.35483870967742,62.58064516129032,0.438,0.342,0.717,0.71,0.75,8.55,2.78
2011.0,Alabama State,20.8,15.0,4.714285714285714,13.142857142857142,35.93877551020408,11.542857142857143,7.285714285714286,4.6571428571428575,15.742857142857142,22.2,61.31428571428572,63.82857142857143,0.395,0.283,0.603,0.486,0.6111111111111112,-13.37,-10.31
2011.0,Alabama,25.135135135135137,12.45945945945946,4.108108108108108,12.378378378378379,35.854638422205994,12.27027027027027,9.486486486486486,5.135135135135135,13.945945945945946,18.243243243243242,66.83783783783784,59.4054054054054,0.45,0.298,0.707,0.676,0.75,11.7,4.27
2011.0,Albany (NY),22.625,10.21875,7.4375,11.75,35.7265625,11.5625,4.6875,2.8125,12.84375,15.78125,62.90625,64.0,0.424,0.378,0.645,0.5,0.5625,-7.05,-5.96
2011.0,Alcorn State,21.928571428571427,17.642857142857142,4.142857142857143,10.535714285714286,35.05229591836734,9.107142857142858,7.785714285714286,3.6785714285714284,16.892857142857142,21.785714285714285,65.64285714285714,80.64285714285714,0.369,0.323,0.633,0.143,0.2222222222222222,-23.02,-8.02
2011.0,American,23.096774193548388,13.903225806451612,6.064516129032258,9.290322580645162,33.37773152965661,13.870967741935484,4.096774193548387,2.774193548387097,11.161290322580646,18.0,66.16129032258064,63.645161290322584,0.447,0.338,0.718,0.71,0.7857142857142857,-3.13,-5.64
2011.0,Appalachian State,25.483870967741936,15.774193548387096,6.32258064516129,10.419354838709678,34.08324661810614,10.548387096774194,5.774193548387097,2.870967741935484,13.0,17.451612903225808,73.06451612903226,73.19354838709677,0.455,0.337,0.705,0.516,0.5555555555555556,-4.81,-2.95
2011.0,Arizona State,23.193548387096776,9.838709677419354,7.741935483870968,9.35483870967742,31.665972944849116,14.935483870967742,6.32258064516129,3.7096774193548385,12.225806451612904,18.516129032258064,63.96774193548387,66.87096774193549,0.43,0.351,0.628,0.387,0.2222222222222222,4.3,7.2
2011.0,Arizona,25.5,17.657894736842106,7.7894736842105265,10.736842105263158,34.42797783933518,14.105263157894736,5.184210526315789,2.5789473684210527,12.736842105263158,18.605263157894736,76.44736842105263,67.89473684210526,0.469,0.397,0.746,0.789,0.7777777777777778,16.54,7.99
2011.0,Little Rock,22.916666666666668,15.694444444444445,6.722222222222222,10.472222222222221,33.15354938271605,12.027777777777779,5.888888888888889,2.4722222222222223,11.88888888888889,20.555555555555557,68.25,67.38888888888889,0.426,0.393,0.69,0.528,0.4375,-4.32,-2.97
2011.0,Arkansas-Pine Bluff,20.225806451612904,13.064516129032258,6.161290322580645,9.64516129032258,31.52757544224766,11.516129032258064,7.548387096774194,2.161290322580645,16.70967741935484,20.93548387096774,59.67741935483871,71.64516129032258,0.389,0.344,0.627,0.226,0.3888888888888889,-20.0,-8.03
2011.0,Arkansas State,23.28125,16.59375,5.21875,12.34375,36.3955078125,11.34375,6.3125,3.09375,13.0625,18.28125,68.375,64.5625,0.432,0.33,0.708,0.531,0.6875,-3.38,-3.31
2011.0,Arkansas,24.387096774193548,15.32258064516129,6.580645161290323,10.709677419354838,33.94484911550468,12.03225806451613,7.258064516129032,5.870967741935484,13.258064516129032,18.096774193548388,70.6774193548387,66.74193548387096,0.436,0.362,0.695,0.581,0.4375,6.28,2.34
2011.0,Army,23.566666666666666,12.0,8.8,10.8,33.64,13.433333333333334,5.633333333333334,1.7666666666666666,14.133333333333333,20.2,67.93333333333334,71.36666666666666,0.416,0.364,0.71,0.367,0.21428571428571427,-10.71,-6.58
2011.0,Auburn,21.774193548387096,14.03225806451613,4.774193548387097,12.35483870967742,34.02081165452654,11.258064516129032,7.806451612903226,3.225806451612903,14.193548387096774,20.677419354838708,62.354838709677416,66.16129032258064,0.398,0.318,0.656,0.355,0.25,-2.47,2.4
2011.0,Austin Peay,26.441176470588236,15.470588235294118,5.470588235294118,12.617647058823529,35.71712802768167,14.235294117647058,8.588235294117647,4.176470588235294,14.264705882352942,18.38235294117647,73.82352941176471,67.02941176470588,0.459,0.36,0.68,0.588,0.7222222222222222,-0.15,-3.77
2011.0,Ball State,22.625,17.71875,4.65625,10.375,33.33203125,13.625,6.03125,2.0,12.9375,17.9375,67.625,64.03125,0.446,0.336,0.693,0.594,0.625,-0.7,-3.4
2011.0,Baylor,24.258064516129032,15.67741935483871,5.290322580645161,11.612903225806452,34.72216441207076,11.774193548387096,7.0,4.193548387096774,15.709677419354838,16.903225806451612,69.48387096774194,64.0,0.465,0.346,0.695,0.581,0.4375,10.0,4.8
2011.0,Belmont,26.97142857142857,16.428571428571427,9.342857142857143,12.885714285714286,35.57469387755102,16.428571428571427,9.657142857142857,3.3714285714285714,13.714285714285714,20.82857142857143,79.71428571428571,62.22857142857143,0.462,0.378,0.736,0.857,0.95,13.07,-4.42
2011.0,Bethune-Cookman,23.41176470588235,14.970588235294118,4.117647058823529,10.735294117647058,31.860726643598614,11.558823529411764,7.117647058823529,2.6470588235294117,12.205882352941176,19.235294117647058,65.91176470588235,65.88235294117646,0.439,0.316,0.708,0.618,0.8125,-11.11,-8.04
2011.0,Binghamton,21.0,10.516129032258064,7.516129032258065,10.193548387096774,30.606659729448488,10.903225806451612,5.064516129032258,3.2903225806451615,12.387096774193548,16.225806451612904,60.03225806451613,68.48387096774194,0.397,0.354,0.701,0.258,0.25,-13.81,-5.35
2011.0,Boise State,25.02857142857143,17.285714285714285,6.771428571428571,11.142857142857142,32.76734693877551,12.82857142857143,8.628571428571428,2.6857142857142855,12.142857142857142,18.885714285714286,74.11428571428571,68.05714285714286,0.438,0.344,0.722,0.629,0.625,5.48,0.01
2011.0,Boston College,25.176470588235293,12.411764705882353,9.0,9.411764705882353,31.811418685121104,15.205882352941176,4.911764705882353,2.5294117647058822,11.058823529411764,14.794117647058824,71.76470588235294,69.29411764705883,0.462,0.382,0.724,0.618,0.5625,9.78,7.31
2011.0,Boston University,21.4,14.485714285714286,7.571428571428571,11.82857142857143,35.347755102040814,9.857142857142858,5.4,3.6857142857142855,11.942857142857143,18.142857142857142,64.85714285714286,63.48571428571429,0.402,0.355,0.729,0.6,0.75,-2.48,-3.85
2011.0,Bowling Green State,24.333333333333332,11.030303030303031,4.424242424242424,10.909090909090908,32.972451790633606,13.636363636363637,8.575757575757576,3.1818181818181817,13.454545454545455,18.424242424242426,64.12121212121212,67.12121212121212,0.432,0.297,0.642,0.424,0.5,-5.94,-2.03
2011.0,Bradley,23.375,13.15625,4.96875,9.1875,32.462890625,11.6875,6.3125,2.46875,12.1875,18.25,64.875,67.625,0.427,0.334,0.722,0.375,0.2222222222222222,-1.52,1.67
2011.0,Brigham Young,27.54054054054054,17.89189189189189,8.432432432432432,11.35135135135135,38.20672023374726,14.54054054054054,8.054054054054054,4.054054054054054,10.91891891891892,17.486486486486488,81.4054054054054,67.89189189189189,0.449,0.361,0.765,0.865,0.875,18.65,5.76
2011.0,Brown,24.571428571428573,14.892857142857142,7.464285714285714,7.892857142857143,33.96811224489796,14.25,5.25,2.7142857142857144,12.25,16.571428571428573,71.5,73.35714285714286,0.439,0.343,0.747,0.393,0.2857142857142857,-7.27,-4.12
2011.0,Bryant,23.466666666666665,11.666666666666666,8.1,10.5,32.65,13.333333333333334,5.566666666666666,2.7333333333333334,13.633333333333333,18.833333333333332,66.7,75.26666666666667,0.418,0.361,0.652,0.3,0.3888888888888889,-12.98,-3.12
2011.0,Bucknell,24.323529411764707,14.676470588235293,6.882352941176471,7.9411764705882355,33.56055363321799,14.441176470588236,4.705882352941177,3.1176470588235294,11.176470588235293,18.0,70.20588235294117,63.94117647058823,0.446,0.4,0.788,0.735,0.9285714285714286,2.39,-3.87
