year,team_name,fg_pg,ft_pg,three_pt_pg,orb_pg,drb_pg,ast_pg,stl_pg,blk_pg,tov_pg,pf_pg,pt_pg,opnt_pt_pg,fg_pct,three_p_pct,ft_pct,wl_pct,conf_wl_pct,srs,sos
2022.0,Abilene Christian,26.27777777777778,17.27777777777778,6.861111111111111,10.444444444444445,31.793209876543212,14.944444444444445,10.86111111111111,1.8611111111111112,12.583333333333334,22.25,76.69444444444444,67.55555555555556,0.438,0.32,0.754,0.694,0.6111111111111112,2.25,-2.09
2022.0,Air Force,21.620689655172413,8.620689655172415,7.172413793103448,5.931034482758621,26.34720570749108,12.482758620689655,5.448275862068965,3.0344827586206895,13.620689655172415,18.03448275862069,59.03448275862069,66.03448275862068,0.436,0.333,0.649,0.379,0.23529411764705882,-5.67,1.33
2022.0,Akron,24.323529411764707,14.205882352941176,7.794117647058823,9.823529411764707,34.6522491349481,11.647058823529411,5.852941176470588,3.235294117647059,11.411764705882353,15.764705882352942,70.6470588235294,62.64705882352941,0.46,0.354,0.689,0.706,0.7,0.91,-3.93
2022.0,Alabama,27.606060606060606,15.030303030303031,9.242424242424242,13.424242424242424,39.16896235078053,14.666666666666666,7.0606060606060606,4.696969696969697,14.545454545454545,18.454545454545453,79.48484848484848,76.45454545454545,0.44,0.309,0.728,0.576,0.5,14.62,11.59
2022.0,Alabama A&M,21.866666666666667,13.8,3.9,11.133333333333333,37.428888888888885,9.5,7.033333333333333,3.2,13.566666666666666,16.1,61.43333333333333,67.0,0.379,0.271,0.713,0.4,0.5555555555555556,-14.43,-8.86
2022.0,Alabama State,24.225806451612904,15.0,6.225806451612903,10.516129032258064,33.91883454734651,12.03225806451613,7.548387096774194,3.5806451612903225,15.387096774193548,18.06451612903226,69.6774193548387,75.2258064516129,0.426,0.332,0.698,0.323,0.4444444444444444,-12.05,-5.45
2022.0,Albany (NY),23.032258064516128,9.903225806451612,5.870967741935484,9.064516129032258,31.707596253902185,9.419354838709678,6.741935483870968,2.4516129032258065,12.35483870967742,18.0,61.83870967741935,65.87096774193549,0.41,0.323,0.704,0.419,0.5,-9.8,-5.77
2022.0,Alcorn State,24.029411764705884,13.088235294117647,5.382352941176471,11.764705882352942,35.536332179930795,10.352941176470589,7.4411764705882355,2.7058823529411766,14.058823529411764,17.764705882352942,66.52941176470588,71.08823529411765,0.412,0.316,0.692,0.5,0.7777777777777778,-8.68,-4.12
2022.0,American,24.40625,9.625,5.03125,6.96875,30.4384765625,12.1875,6.53125,3.0625,13.34375,14.90625,63.46875,70.9375,0.45,0.331,0.694,0.313,0.2777777777777778,-15.38,-7.91
2022.0,Appalachian State,24.176470588235293,10.411764705882353,8.323529411764707,9.852941176470589,34.97491349480969,12.558823529411764,5.617647058823529,2.5,10.294117647058824,12.852941176470589,67.08823529411765,63.11764705882353,0.418,0.335,0.659,0.559,0.6666666666666666,-1.45,-1.45
2022.0,Arizona,30.18918918918919,15.837837837837839,7.756756756756757,11.594594594594595,41.065010956902846,19.62162162162162,6.72972972972973,5.675675675675675,13.432432432432432,16.72972972972973,83.97297297297297,68.05405405405405,0.492,0.352,0.739,0.892,0.9,22.75,6.84
2022.0,Arizona State,25.0,8.483870967741936,6.903225806451613,9.419354838709678,35.244536940686785,13.35483870967742,6.67741935483871,4.225806451612903,11.935483870967742,18.129032258064516,65.38709677419355,67.2258064516129,0.414,0.307,0.661,0.452,0.5,7.64,9.48
2022.0,Arkansas,26.27027027027027,17.10810810810811,6.297297297297297,10.783783783783784,37.519357195032875,13.837837837837839,7.594594594594595,4.135135135135135,12.216216216216216,16.864864864864863,75.94594594594595,68.29729729729729,0.434,0.304,0.76,0.757,0.7222222222222222,16.27,8.62
2022.0,Arkansas State,25.689655172413794,14.068965517241379,5.413793103448276,10.137931034482758,35.650416171224734,15.586206896551724,7.896551724137931,3.310344827586207,13.89655172413793,16.620689655172413,70.86206896551724,68.06896551724138,0.451,0.311,0.745,0.621,0.5333333333333333,-3.27,-3.5
2022.0,Arkansas-Pine Bluff,22.838709677419356,13.774193548387096,6.838709677419355,8.774193548387096,29.200832466181062,11.451612903225806,7.161290322580645,2.5806451612903225,13.096774193548388,17.419354838709676,66.29032258064517,78.25806451612904,0.409,0.301,0.715,0.226,0.2777777777777778,-18.96,-4.58
2022.0,Army,25.93548387096774,11.806451612903226,6.741935483870968,11.096774193548388,36.867845993756504,12.548387096774194,7.838709677419355,1.8709677419354838,13.161290322580646,14.838709677419354,70.41935483870968,70.38709677419355,0.437,0.321,0.63,0.484,0.5,-10.53,-7.53
2022.0,Auburn,27.735294117647058,14.705882352941176,8.058823529411764,12.794117647058824,40.06487889273357,14.735294117647058,8.352941176470589,8.0,12.088235294117647,18.5,78.23529411764706,67.20588235294117,0.435,0.318,0.731,0.824,0.8333333333333334,19.2,8.17
2022.0,Austin Peay,23.06896551724138,10.620689655172415,7.896551724137931,10.551724137931034,32.463733650416174,13.517241379310345,6.413793103448276,2.0344827586206895,13.96551724137931,16.655172413793103,64.65517241379311,69.10344827586206,0.408,0.315,0.706,0.414,0.4444444444444444,-10.02,-3.39
2022.0,Ball State,25.419354838709676,14.935483870967742,8.548387096774194,9.709677419354838,35.33194588969823,13.161290322580646,6.064516129032258,2.4193548387096775,13.96774193548387,17.903225806451612,74.3225806451613,76.7741935483871,0.442,0.361,0.694,0.452,0.47368421052631576,-7.99,-4.56
