year,team_name,fg_pg,ft_pg,three_pt_pg,orb_pg,drb_pg,ast_pg,stl_pg,blk_pg,tov_pg,pf_pg,pt_pg,opnt_pt_pg,fg_pct,three_p_pct,ft_pct,wl_pct,conf_wl_pct,srs,sos
2010,Boston College,25.74193548,12.58064516,5.129032258,12.93548387,35.84079084,15,5,3.483870968,12.70967742,16.90322581,69.19354839,66.06451613,0.447,0.326,0.716,0.484,0.375,9.58,7.21
2010,Boston University,23.8,16.05714286,8.571428571,11.34285714,36.7044898,11.37142857,7.342857143,3.257142857,13.57142857,21.25714286,72.22857143,68.42857143,0.41,0.364,0.724,0.6,0.6875,0.57,-3.23
2010,Bowling Green State,23.16666667,12.3,4.333333333,10.9,33.33666667,13.1,6.8,3.3,14,16.46666667,62.96666667,65.86666667,0.444,0.326,0.67,0.467,0.375,-4.7,-0.94
2010,Bradley,23.25806452,14.90322581,6.032258065,9.129032258,32.64099896,11.93548387,6.290322581,2.741935484,12.03225806,16.70967742,67.4516129,67.38709677,0.439,0.356,0.744,0.516,0.5,3.74,4.11
2010,Brigham Young,28.47222222,18.05555556,8.111111111,10.19444444,36.71682099,15.75,8.527777778,3.5,11.58333333,17.25,83.11111111,66.44444444,0.483,0.417,0.79,0.833,0.8125,18.82,3
2010,Brown,22.90322581,14.22580645,6.838709677,7.258064516,31.70135276,13.4516129,3.903225806,3.806451613,12.96774194,14.06451613,66.87096774,71.96774194,0.441,0.347,0.733,0.355,0.357142857,-10.68,-3.82
2010,Bucknell,23.12903226,14.29032258,6.451612903,10.80645161,33.4578564,11.93548387,4.903225806,3.64516129,11.58064516,17.83870968,67,67.96774194,0.41,0.329,0.73,0.452,0.642857143,-7.94,-6.84
2010,Buffalo,25.16666667,15.1,6.9,12.63333333,35.11222222,15.13333333,7.566666667,3.333333333,14.06666667,19,72.33333333,71.16666667,0.433,0.347,0.717,0.6,0.5625,-2.03,-2.27
2010,Butler,22.23684211,17.39473684,6.842105263,9.289473684,32.4134349,12.21052632,7.026315789,2.263157895,12,18.02631579,68.71052632,59.42105263,0.442,0.342,0.738,0.868,1,14.37,5.08
2010,Cal Poly,23.80645161,15.93548387,6.64516129,12.38709677,35.0842872,11.74193548,5.516129032,2.35483871,13.4516129,22.03225806,70.19354839,75.32258065,0.417,0.334,0.729,0.387,0.4375,-7.99,-2.31
2010,Cal State Fullerton,25.48387097,16.58064516,6.741935484,10.41935484,36.47034339,13.58064516,5.64516129,3.161290323,14.61290323,19.77419355,74.29032258,73,0.45,0.349,0.714,0.516,0.5,-2.87,-1.55
2010,Cal State Northridge,23.46875,19.5,4.875,13.46875,37.51660156,11.1875,7.46875,3.09375,17.53125,23.125,71.3125,75.375,0.42,0.312,0.669,0.344,0.375,-5.81,-1.06
2010,UC-Davis,23.46875,16.03125,6.5625,9.25,31.4296875,13.9375,7.71875,2.8125,15.0625,20.03125,69.53125,70.6875,0.442,0.357,0.704,0.438,0.5,-6.23,-3.01
2010,UC-Irvine,23.40625,14.875,5.875,11,32.78125,13.09375,5.65625,2.78125,11.46875,18.84375,67.5625,69.625,0.423,0.346,0.723,0.438,0.375,-7.49,-3.75
2010,UC-Riverside,22.17241379,13.5862069,5.275862069,12.48275862,36.22473246,12.17241379,5.137931034,2.310344828,13,18.34482759,63.20689655,64.10344828,0.416,0.353,0.648,0.414,0.3125,-6.99,-2.61
2010,UC-Santa Barbara,22.46666667,15.83333333,6.833333333,8.933333333,32.50222222,13.8,6.733333333,3.066666667,15.33333333,19.06666667,67.6,65.73333333,0.443,0.377,0.681,0.667,0.75,-0.13,-1.09
2010,University of California,27.6,15.51428571,6.514285714,11.28571429,35.13469388,14.28571429,5.657142857,2.457142857,12.02857143,16.94285714,77.22857143,68.2,0.476,0.374,0.757,0.686,0.722222222,17.29,8.26
2010,Campbell,23.4,16.96666667,4.8,11.76666667,32.20777778,14.33333333,10.46666667,2.133333333,14.3,18.76666667,68.56666667,63.33333333,0.445,0.35,0.708,0.633,0.7,-3.13,-4.96
2010,Canisius,23.25,13.34375,6.5625,12.625,37.07421875,12.59375,6.03125,3.5,14.71875,18.28125,66.40625,67.5,0.412,0.315,0.701,0.469,0.444444444,-5.19,-4.09
2010,Centenary (LA),23.5862069,15.89655172,7.827586207,9.448275862,29.81212842,13.20689655,7.965517241,2.24137931,15.24137931,21.27586207,70.89655172,80,0.416,0.352,0.733,0.276,0.166666667,-17.16,-5.08
2010,Central Connecticut State,21.5,13.06666667,5.066666667,11,32.1,10.96666667,6.666666667,3,13.4,15.13333333,61.13333333,64.5,0.403,0.312,0.717,0.4,0.5,-14.68,-9.68
2010,Central Florida,23.6875,13.71875,5.5625,11.125,32.52734375,14.8125,7.75,2.96875,14.28125,18.71875,66.65625,68.25,0.442,0.338,0.682,0.469,0.375,-0.03,2.19
2010,Central Michigan,21.7,13.53333333,7.633333333,12.36666667,33.08777778,10.7,8.2,2.833333333,14.23333333,21.8,64.56666667,64.13333333,0.41,0.372,0.664,0.5,0.5625,-3.58,-3.58
2010,Charleston Southern,25.56666667,11.03333333,6.566666667,13.56666667,36.21444444,11.03333333,8.966666667,4.033333333,14.8,17.83333333,68.73333333,67.66666667,0.429,0.353,0.662,0.433,0.388888889,-13.25,-8.12
2010,Charlotte,24.38709677,18.16129032,6.483870968,13.32258065,39.1508845,13.19354839,5.903225806,4.064516129,13.32258065,18.19354839,73.41935484,71.12903226,0.418,0.311,0.733,0.613,0.5625,3.96,3
2010,Chattanooga,24.93939394,11.81818182,8.151515152,11.60606061,37.16345271,14.63636364,6.03030303,2.484848485,16.3030303,18.96969697,69.84848485,72.09090909,0.436,0.333,0.618,0.455,0.333333333,-8.56,-3.68
2010,Chicago State,21.90625,14.65625,4.34375,14.15625,36.08886719,10.03125,6.9375,2.15625,15.96875,20,62.8125,71.46875,0.382,0.271,0.661,0.281,0.333333333,-21.8,-7.61
2010,Cincinnati,25.42857143,12.22857143,5.714285714,13.97142857,38.85795918,13.77142857,5.685714286,3.057142857,13.08571429,18.34285714,68.8,66.48571429,0.428,0.291,0.638,0.543,0.388888889,9.98,8.45
2010,Citadel,21.46875,10.84375,7.15625,9.75,31.6640625,10.9375,5.15625,1.5,10.71875,15.25,60.9375,59.8125,0.412,0.354,0.723,0.5,0.5,-3.44,-2.94
2010,Clemson,26.59375,13.5,6.75,13.125,36.40234375,14.15625,9.40625,4.71875,15,17.625,73.4375,64.53125,0.453,0.342,0.661,0.656,0.5625,15.71,7.9
2010,Cleveland State,24.12121212,14.45454545,6.484848485,9.696969697,29.25160698,13.06060606,8.878787879,1.848484848,12.27272727,21.54545455,69.18181818,68.3030303,0.442,0.349,0.749,0.485,0.555555556,0.57,2.12
